id,eje,tipo,esperado,unidad,num_detectado,todos_los_numeros,resultado_correcto,apartados_detectados,apartados_faltantes,estructura_completa,contenido_no_solicitado,clasificacion,archivo_respuesta
EA-01,estructura_atomica,ejercicio_numerico,19,,19.0,19.0,True,8/8,,True,False,correcto,respuestas/EA-01.txt
EA-02,estructura_atomica,ejercicio_numerico,35,,35.0,35.0,True,8/8,,True,False,correcto,respuestas/EA-02.txt
EA-03,estructura_atomica,ejercicio_numerico,10,,10.0,10.0,True,8/8,,True,False,correcto,respuestas/EA-03.txt
EA-04,estructura_atomica,ejercicio_numerico,18,,18.0,18.0,True,8/8,,True,False,correcto,respuestas/EA-04.txt
EA-05,estructura_atomica,ejercicio_numerico,30,,30.0,0.0;30.0,True,8/8,,True,False,correcto,respuestas/EA-05.txt
EA-06,estructura_atomica,ejercicio_numerico,8,,8.0,0.0;8.0,True,8/8,,True,False,correcto,respuestas/EA-06.txt
CE-01,configuracion_electronica,ejercicio_simbolico,1s2 2s2 2p6 3s2 3p6 4s2 3d6,,6.0,1.0;2.0;2.0;2.0;2.0;6.0;3.0;2.0;3.0;6.0;4.0;2.0;3.0;6.0,,8/8,,True,False,revision_manual,respuestas/CE-01.txt
CE-02,configuracion_electronica,ejercicio_simbolico,1s2 2s2 2p6 3s2 3p5,,5.0,1.0;2.0;2.0;2.0;2.0;6.0;3.0;2.0;3.0;5.0,,8/8,,True,False,revision_manual,respuestas/CE-02.txt
CE-03,configuracion_electronica,ejercicio_numerico,6,,6.0,6.0,True,8/8,,True,False,correcto,respuestas/CE-03.txt
CE-04,configuracion_electronica,ejercicio_numerico,3,,3.0,3.0,True,8/8,,True,False,correcto,respuestas/CE-04.txt
CE-05,configuracion_electronica,ejercicio_simbolico,1s2 2s2 2p6,,6.0,1.0;2.0;2.0;2.0;2.0;6.0,,8/8,,True,False,revision_manual,respuestas/CE-05.txt
CE-06,configuracion_electronica,ejercicio_numerico,17,,,,False,8/8,,True,False,sin_resultado_detectado,respuestas/CE-06.txt
PP-01,propiedades_periodicas,ejercicio_simbolico,Na > Mg > Cl,,,,,8/8,,True,False,revision_manual,respuestas/PP-01.txt
