epoch,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,num_input_tokens_seen,step,tiempo_min
0.24715447154471545,0.5805584585321122,0.6241180300712585,0.8436695000399714,173708.0,19.8634,3.474,3.474,173708,19,2.71
0.4943089430894309,0.5715207371158876,0.547900378704071,0.8570529231126758,359169.0,19.6717,3.508,3.508,359169,38,5.41
0.7414634146341463,0.5118573983942253,0.5083084106445312,0.8648118437200353,526746.0,19.8817,3.471,3.471,526746,57,8.0
0.9886178861788618,0.45808999002843664,0.4853561520576477,0.8706731649412625,697901.0,19.8807,3.471,3.471,697901,76,10.61
1.2341463414634146,0.4045968301918196,0.4699392318725586,0.875866477040277,877318.0,19.8705,3.472,3.472,877318,95,13.34
1.4813008130081302,0.3841903830567996,0.4613904654979706,0.8774757367977197,1044425.0,19.8748,3.472,3.472,1044425,114,15.9
1.7284552845528456,0.4061749149923739,0.44691967964172363,0.8795609672864279,1216644.0,19.8569,3.475,3.475,1216644,133,18.54
1.975609756097561,0.4260706635920898,0.4357180595397949,0.8826395929723546,1391255.0,19.8831,3.47,3.47,1391255,152,21.19
2.221138211382114,0.3205728158354759,0.45618849992752075,0.8827358285586039,1567901.0,19.8745,3.472,3.472,1567901,171,23.89
2.4682926829268292,0.3237606015974197,0.4483620226383209,0.8847164036571116,1745103.0,19.8683,3.473,3.473,1745103,190,26.58
2.7154471544715446,0.3375766739465188,0.43961068987846375,0.8859186474827753,1916915.0,19.8732,3.472,3.472,1916915,209,29.22
2.9626016260162604,0.34030691113161005,0.4384417235851288,0.8861656085304592,2091313.0,19.8725,3.472,3.472,2091313,228,31.86
3.208130081300813,0.3015996780300486,0.46191006898880005,0.884184345818948,2258303.0,19.8701,3.473,3.473,2258303,247,34.42
3.4552845528455283,0.29987477516566496,0.46317175030708313,0.884895340256069,2431968.0,19.8549,3.475,3.475,2431968,266,37.06
3.7024390243902436,0.29638478705200594,0.4648694694042206,0.8848753269167914,2610641.0,19.8879,3.469,3.469,2610641,285,39.79
3.9495934959349595,0.29635335283650865,0.46473827958106995,0.8846708130145419,2790360.0,19.8904,3.469,3.469,2790360,304,42.5
3.9495934959349595,0.4260706635920898,0.4357180595397949,0.8826395929723546,2790360.0,19.8927,3.469,3.469,2790360,304,42.85
